time,open,high,low,close,volume
2020-01-02,24.24,24.24,22.57,22.57,1020
2020-01-03,23.57,23.57,23.57,23.57,100
2020-01-06,22.61,24.91,22.61,24.91,4010
2020-01-07,24.66,24.66,24.66,24.66,10
2020-01-08,22.94,22.94,22.94,22.94,10
2020-01-09,22.94,22.94,22.65,22.65,20
2020-01-10,23.82,23.82,23.82,23.82,50
2020-01-13,22.32,22.32,22.32,22.32,10
2020-01-14,22.61,22.61,22.61,22.61,10
2020-01-15,22.61,22.61,22.61,22.61,0
2020-01-16,22.73,22.73,22.73,22.73,6820
2020-01-17,22.73,22.73,22.73,22.73,200
2020-01-20,22.73,22.73,22.73,22.73,0
2020-01-21,22.73,22.73,22.57,22.57,210
2020-01-22,22.57,22.98,22.57,22.98,70
2020-01-30,22.98,22.98,22.98,22.98,0
2020-01-31,21.4,21.4,21.4,21.4,10
2020-02-03,21.4,21.4,21.4,21.4,0
2020-02-04,20.06,22.57,20.06,22.57,60
2020-02-05,22.57,22.57,22.57,22.57,10
2020-02-06,23.32,23.4,23.32,23.4,60
2020-02-07,23.4,23.4,23.4,23.4,50
2020-02-10,23.4,23.4,23.4,23.4,20
2020-02-11,23.24,23.24,23.24,23.24,60
2020-02-12,23.24,23.24,23.24,23.24,20
2020-02-13,23.32,23.32,23.24,23.24,230
2020-02-14,23.24,23.24,23.24,23.24,30
2020-02-17,21.73,21.73,21.73,21.73,10
2020-02-18,23.24,23.24,23.24,23.24,10
2020-02-19,23.24,23.24,23.24,23.24,0
2020-02-20,23.24,23.24,23.24,23.24,0
2020-02-21,21.9,21.9,21.9,21.9,10
2020-02-24,21.9,21.9,21.9,21.9,10
2020-02-25,23.32,23.32,23.32,23.32,20
2020-02-26,21.73,23.32,21.73,23.32,880
2020-02-27,23.32,23.32,23.32,23.32,0
2020-02-28,23.32,23.32,23.32,23.32,0
2020-03-02,23.32,23.32,23.32,23.32,0
2020-03-03,23.32,23.32,23.32,23.32,0
2020-03-04,23.24,23.24,23.24,23.24,20
2020-03-05,23.24,23.24,23.24,23.24,0
2020-03-06,23.15,23.15,23.15,23.15,110
2020-03-09,23.15,23.15,23.15,23.15,0
2020-03-10,22.15,22.15,22.15,22.15,90
2020-03-11,21.73,21.73,21.73,21.73,1700
2020-03-12,21.73,22.48,21.73,22.48,60
2020-03-13,23.4,23.4,23.4,23.4,10
2020-03-16,23.4,23.4,23.4,23.4,0
2020-03-17,23.4,23.4,23.4,23.4,0
2020-03-18,23.82,23.82,23.82,23.82,700
2020-03-19,23.82,23.82,23.82,23.82,0
2020-03-20,23.82,23.82,23.82,23.82,0
2020-03-23,23.82,24.24,23.4,24.24,5100
2020-03-24,24.24,25.91,23.49,25.91,3580
2020-03-25,26.75,26.75,26.75,26.75,570
2020-03-26,25.91,26.75,25.07,26.75,900
2020-03-27,25.91,26.75,25.58,26.75,750
2020-03-30,25.07,26.24,25.07,26.24,1560
2020-03-31,24.49,25.83,24.45,25.41,12470
2020-04-01,24.41,25.32,24.41,24.99,4560
2020-04-03,24.99,25.32,24.99,24.99,1550
2020-04-06,23.82,23.82,23.82,23.82,2000
2020-04-07,25.07,25.07,23.82,23.82,510
2020-04-08,23.15,25.2,22.57,23.82,2230
2020-04-09,23.82,23.82,23.82,23.82,1000
2020-04-10,23.82,23.82,23.82,23.82,0
2020-04-13,25.32,25.32,22.27,23.82,5460
2020-04-14,23.82,23.82,23.82,23.82,0
2020-04-15,23.82,23.82,23.82,23.82,0
2020-04-16,23.82,23.82,23.82,23.82,0
2020-04-17,25.45,25.45,22.57,24.2,40
2020-04-20,22.57,23.4,22.57,23.4,1010
2020-04-21,23.4,23.4,23.4,23.4,0
2020-04-22,24.91,24.91,22.15,23.4,1180
2020-04-23,23.82,23.82,23.82,23.82,510
2020-04-24,23.82,23.82,23.82,23.82,610
2020-04-27,23.82,24.2,23.82,24.2,1110
2020-04-28,22.52,24.15,22.52,22.73,600
2020-04-29,24.32,24.32,22.86,22.86,510
2020-05-04,23.07,23.07,23.07,23.07,50
2020-05-05,23.28,23.28,23.28,23.28,30
2020-05-06,21.73,21.73,21.73,21.73,300
2020-05-07,23.24,23.24,23.24,23.24,520
2020-05-08,21.81,21.81,21.81,21.81,300
2020-05-11,21.81,21.81,21.73,21.81,6070
2020-05-12,21.81,21.81,21.81,21.81,0
2020-05-13,23.32,23.32,21.73,22.4,140030
2020-05-14,22.15,22.15,21.9,21.9,150010
2020-05-15,22.19,22.57,22.15,22.57,270100
2020-05-18,22.57,22.57,22.57,22.57,0
2020-05-19,22.15,22.9,22.15,22.9,252100
2020-05-20,22.9,22.9,22.9,22.9,450
2020-05-21,21.86,21.86,21.81,21.81,3500
2020-05-22,21.81,21.81,21.81,21.81,20
2020-05-25,21.81,21.81,21.81,21.81,0
2020-05-26,22.82,22.86,22.82,22.86,13000
2020-05-27,22.86,24.15,22.86,22.98,1980
2020-05-28,24.15,24.24,22.98,23.07,5930
2020-05-29,23.07,23.07,23.07,23.07,0
2020-06-01,22.98,22.98,22.98,22.98,10
2020-06-02,22.98,24.57,22.98,23.03,5810
2020-06-03,22.23,22.23,22.23,22.23,10
2020-06-04,22.23,22.23,22.23,22.23,0
2020-06-05,22.57,22.57,22.57,22.57,1030
2020-06-08,22.11,22.11,22.11,22.11,10
2020-06-09,23.07,23.07,23.07,23.07,90
2020-06-10,23.07,23.07,23.07,23.07,0
2020-06-11,23.07,23.07,23.07,23.07,0
2020-06-12,23.07,23.07,23.07,23.07,0
2020-06-15,23.07,23.07,21.98,21.98,30
2020-06-16,21.98,21.98,21.98,21.98,0
2020-06-17,21.98,21.98,21.98,21.98,0
2020-06-18,21.98,21.98,21.98,21.98,0
2020-06-19,21.98,21.98,21.98,21.98,0
2020-06-22,21.98,21.98,21.98,21.98,0
2020-06-23,21.98,21.98,21.98,21.98,0
2020-06-24,21.98,22.07,21.98,22.07,20
2020-06-25,22.57,22.57,22.57,22.57,60
2020-06-26,21.98,22.57,21.98,22.57,20
2020-06-29,21.98,24.11,21.06,21.06,30
2020-06-30,22.52,22.52,22.52,22.52,20
2020-07-01,22.57,24.07,20.98,20.98,30
2020-07-02,22.4,22.44,20.06,22.44,3530
2020-07-03,20.98,21.98,20.98,21.98,60
2020-07-06,23.49,23.49,23.49,23.49,1010
2020-07-07,22.15,22.15,22.15,22.15,10
2020-07-08,22.15,22.15,22.15,22.15,0
2020-07-09,22.15,22.15,21.73,21.73,1010
2020-07-10,21.15,21.15,21.15,21.15,10
2020-07-13,21.15,21.15,21.15,21.15,0
2020-07-14,21.15,21.15,21.15,21.15,10
