time,open,high,low,close,volume
2020-01-02,7.29,7.34,7.24,7.29,166570
2020-01-03,7.29,7.39,7.29,7.34,235280
2020-01-06,7.34,7.58,7.29,7.44,737325
2020-01-07,7.53,7.87,7.49,7.83,1312062
2020-01-08,7.78,7.83,7.49,7.49,761870
2020-01-09,7.87,7.87,7.63,7.68,377388
2020-01-10,7.73,7.78,7.58,7.63,552445
2020-01-13,7.63,7.63,7.49,7.49,439510
2020-01-14,7.49,7.58,7.44,7.49,246448
2020-01-15,7.53,7.58,7.44,7.53,347018
2020-01-16,7.53,7.73,7.53,7.68,467220
2020-01-17,7.68,7.73,7.53,7.58,284450
2020-01-20,7.58,7.68,7.53,7.53,319215
2020-01-21,7.53,7.58,7.34,7.53,748098
2020-01-22,7.68,8.21,7.68,8.12,1409227
2020-01-30,8.07,8.36,7.73,7.92,1253573
2020-01-31,7.92,8.02,7.53,7.53,912270
2020-02-03,7.49,7.58,6.8,7.1,1345689
2020-02-04,7.1,7.29,6.85,6.9,1200179
2020-02-05,7.0,7.15,7.0,7.05,527182
2020-02-06,7.15,7.53,7.15,7.49,986451
2020-02-07,7.63,7.63,7.39,7.44,584629
2020-02-10,7.49,7.53,7.24,7.34,362249
2020-02-11,7.34,7.49,7.34,7.39,304860
2020-02-12,7.44,7.97,7.44,7.87,1457150
2020-02-13,8.12,8.36,7.92,7.97,1836202
2020-02-14,8.07,8.07,7.83,7.87,726718
2020-02-17,7.78,7.92,7.68,7.73,878498
2020-02-18,7.73,8.02,7.58,7.92,1034857
2020-02-19,7.92,7.92,7.78,7.78,777820
2020-02-20,8.08,8.19,7.78,7.88,496567
2020-02-21,7.88,7.88,7.62,7.62,606203
2020-02-24,7.47,7.57,7.01,7.01,1574278
2020-02-25,6.86,7.27,6.75,7.21,618444
2020-02-26,7.11,7.21,7.06,7.06,380355
2020-02-27,7.06,7.21,7.06,7.21,178866
2020-02-28,7.01,7.16,6.96,7.06,480580
2020-03-02,7.11,7.11,7.01,7.06,274207
2020-03-03,7.16,7.27,7.06,7.11,508119
2020-03-04,7.11,7.21,7.06,7.21,507188
2020-03-05,7.21,7.32,7.21,7.27,524430
2020-03-06,7.16,7.21,7.11,7.11,263173
2020-03-09,7.01,7.01,6.45,6.45,1333000
2020-03-10,6.4,6.65,6.04,6.55,629130
2020-03-11,6.65,6.75,6.4,6.6,1055550
2020-03-12,6.6,7.01,6.29,6.75,1076997
2020-03-13,6.75,6.96,6.24,6.96,746177
2020-03-16,7.06,7.06,6.65,6.7,348390
2020-03-17,6.65,6.75,6.45,6.75,431910
2020-03-18,6.75,6.75,6.5,6.5,649110
2020-03-19,6.4,6.45,6.14,6.14,817794
2020-03-20,6.14,6.34,5.68,5.73,813392
2020-03-23,5.37,5.58,5.17,5.17,551085
2020-03-24,4.66,4.91,4.66,4.66,2237060
2020-03-25,4.4,5.01,4.2,5.01,1976943
2020-03-26,4.91,5.01,4.6,4.66,575263
2020-03-27,4.66,4.76,4.45,4.45,757562
2020-03-30,4.45,4.45,4.04,4.09,1268341
2020-03-31,3.68,4.3,3.68,3.94,537168
2020-04-01,3.99,4.25,3.99,4.14,685816
2020-04-03,4.14,4.55,4.14,4.55,707249
2020-04-06,4.71,4.96,4.6,4.96,966363
2020-04-07,5.42,5.42,5.01,5.42,2502497
2020-04-08,5.94,5.94,5.47,5.94,1981939
2020-04-09,6.14,6.5,5.99,6.29,1527675
2020-04-10,6.55,6.65,5.88,5.99,1332347
2020-04-13,5.83,6.09,5.83,5.88,1229142
2020-04-14,5.88,6.45,5.88,6.45,2200554
2020-04-15,6.65,7.06,6.65,6.91,2484612
2020-04-16,7.27,7.27,6.7,6.75,1492798
2020-04-17,6.65,6.86,6.6,6.65,1828149
2020-04-20,6.75,6.91,6.5,6.5,1927613
2020-04-21,6.45,6.5,5.88,5.94,2105713
2020-04-22,5.88,6.5,5.73,6.5,1038564
2020-04-23,6.65,6.8,6.29,6.29,851145
2020-04-24,6.29,6.4,6.14,6.29,527841
2020-04-27,6.29,6.65,6.19,6.19,984548
2020-04-28,6.14,6.4,6.14,6.29,1015063
2020-04-29,6.29,6.5,6.24,6.24,1302022
2020-05-04,6.29,6.5,6.24,6.34,754660
2020-05-05,6.34,6.5,6.24,6.24,729340
2020-05-06,6.29,6.4,6.24,6.34,654831
2020-05-07,6.34,6.6,6.34,6.55,1449018
2020-05-08,6.55,6.75,6.4,6.4,1426463
2020-05-11,6.4,6.55,6.4,6.45,928154
2020-05-12,6.45,7.06,6.45,7.06,3962755
2020-05-13,7.21,7.37,6.96,6.96,1868630
2020-05-14,6.96,7.06,6.8,7.01,1195056
2020-05-15,6.96,7.06,6.86,6.86,2129628
2020-05-18,6.91,7.27,6.91,6.96,1395140
2020-05-19,7.21,7.21,6.86,6.86,1972533
2020-05-20,6.86,7.01,6.75,6.91,1345346
2020-05-21,6.96,7.21,6.91,7.06,1482717
2020-05-22,7.06,7.11,6.91,6.91,1250307
2020-05-25,6.91,7.21,6.8,7.21,2363383
2020-05-26,7.21,7.57,7.16,7.42,3073580
2020-05-27,7.47,7.52,7.06,7.06,1925187
2020-05-28,7.11,7.27,7.06,7.06,1193088
2020-05-29,7.06,7.06,6.91,6.96,1056859
2020-06-01,7.01,7.16,6.96,7.06,990689
2020-06-02,7.11,7.37,7.06,7.06,1801286
2020-06-03,7.11,7.16,7.06,7.06,711482
2020-06-04,7.11,7.32,7.06,7.16,1042505
2020-06-05,7.16,7.67,7.11,7.57,3084096
2020-06-08,7.67,7.98,7.52,7.62,3213010
2020-06-09,7.67,7.78,7.42,7.42,1533196
2020-06-10,7.42,7.62,7.32,7.37,1683805
2020-06-11,7.62,7.62,6.8,6.8,2823120
2020-06-12,6.8,7.01,6.24,6.96,1786696
2020-06-15,6.96,7.06,6.55,6.6,1659846
2020-06-16,6.75,6.86,6.65,6.7,799228
2020-06-17,6.7,6.86,6.7,6.7,1102562
2020-06-18,6.7,6.91,6.65,6.75,807525
2020-06-19,6.75,6.96,6.75,6.86,487508
2020-06-22,6.96,7.06,6.8,6.86,603761
2020-06-23,6.86,6.91,6.75,6.75,772924
2020-06-24,6.75,6.86,6.65,6.75,535727
2020-06-25,6.65,6.75,6.6,6.6,566315
