time,open,high,low,close,volume
2020-01-02,3.98,3.98,3.72,3.95,600
2020-01-03,4.09,4.09,4.09,4.09,10
2020-01-06,3.9,3.91,3.81,3.82,1920
2020-01-07,3.82,3.82,3.82,3.82,0
2020-01-08,3.97,3.99,3.73,3.73,750
2020-01-09,3.69,3.7,3.69,3.7,650
2020-01-10,3.63,3.87,3.63,3.65,710
2020-01-13,3.62,3.65,3.6,3.65,5290
2020-01-14,3.61,3.61,3.61,3.61,10
2020-01-15,3.7,3.7,3.7,3.7,20
2020-01-16,3.74,3.74,3.74,3.74,10
2020-01-17,3.54,3.65,3.54,3.65,12410
2020-01-20,3.5,3.5,3.5,3.5,520
2020-01-21,3.63,3.65,3.62,3.63,5400
2020-01-22,3.51,3.63,3.51,3.55,1690
2020-01-30,3.5,3.55,3.38,3.38,120
2020-01-31,3.39,3.39,3.2,3.2,8650
2020-02-03,3.2,3.2,3.0,3.01,3950
2020-02-04,3.15,3.15,3.14,3.15,400
2020-02-05,3.15,3.15,3.15,3.15,1000
2020-02-06,3.02,3.23,3.01,3.23,3530
2020-02-07,3.23,3.23,3.23,3.23,1540
2020-02-10,3.01,3.23,3.01,3.23,5100
2020-02-11,3.1,3.23,3.1,3.23,1850
2020-02-12,3.24,3.24,3.05,3.05,60
2020-02-13,3.15,3.25,3.1,3.1,3010
2020-02-14,3.25,3.25,3.1,3.11,840
2020-02-17,3.25,3.25,3.11,3.21,60
2020-02-18,3.25,3.28,3.25,3.28,1000
2020-02-19,3.25,3.25,3.25,3.25,3990
2020-02-20,3.29,3.29,3.25,3.25,1730
2020-02-21,3.3,3.3,3.29,3.3,5400
2020-02-24,3.28,3.3,3.28,3.3,500
2020-02-25,3.11,3.11,3.11,3.11,30
2020-02-26,3.12,3.12,3.1,3.11,1060
2020-02-27,3.1,3.1,3.0,3.1,8090
2020-02-28,3.1,3.1,3.1,3.1,3330
2020-03-02,3.1,3.1,3.0,3.0,17080
2020-03-03,3.0,3.0,3.0,3.0,8000
2020-03-04,2.85,3.05,2.85,3.05,1050
2020-03-05,3.0,3.05,3.0,3.05,28040
2020-03-06,3.05,3.05,3.0,3.0,910
2020-03-09,2.95,2.95,2.9,2.9,22450
2020-03-10,2.7,2.94,2.7,2.78,8730
2020-03-11,2.96,2.96,2.71,2.89,610
2020-03-12,2.71,2.75,2.69,2.74,6820
2020-03-13,2.6,2.88,2.55,2.88,7720
2020-03-16,2.88,3.06,2.88,3.06,20280
2020-03-17,2.87,3.0,2.87,3.0,3550
2020-03-18,3.0,3.0,3.0,3.0,3050
2020-03-19,2.81,2.97,2.81,2.97,780
2020-03-20,2.82,2.82,2.81,2.81,520
2020-03-23,2.75,2.8,2.75,2.8,130
2020-03-24,2.64,2.79,2.64,2.79,6200
2020-03-25,2.79,2.79,2.79,2.79,0
2020-03-26,2.97,2.97,2.6,2.76,3630
2020-03-27,2.76,2.76,2.76,2.76,1010
2020-03-30,2.61,2.75,2.61,2.75,400
2020-03-31,2.65,2.65,2.6,2.6,20
2020-04-01,2.6,2.7,2.42,2.64,6800
2020-04-03,2.64,2.7,2.64,2.67,720
2020-04-06,2.55,2.67,2.55,2.6,1120
2020-04-07,2.6,2.65,2.5,2.6,6210
2020-04-08,2.65,2.65,2.65,2.65,1630
2020-04-09,2.6,2.69,2.58,2.58,1800
2020-04-10,2.5,2.59,2.47,2.59,1100
2020-04-13,2.68,2.68,2.59,2.6,4910
2020-04-14,2.5,2.55,2.42,2.43,47870
2020-04-15,2.41,2.6,2.4,2.49,67420
2020-04-16,2.49,2.59,2.42,2.59,20030
2020-04-17,2.65,2.65,2.41,2.41,122360
2020-04-20,2.41,2.55,2.4,2.5,56450
2020-04-21,2.52,2.53,2.47,2.5,18270
2020-04-22,2.5,2.5,2.33,2.43,160950
2020-04-23,2.28,2.46,2.28,2.43,5640
2020-04-24,2.42,2.42,2.35,2.35,2170
2020-04-27,2.35,2.4,2.3,2.38,20680
2020-04-28,2.34,2.39,2.34,2.39,8190
2020-04-29,2.35,2.45,2.35,2.41,34990
2020-05-04,2.42,2.42,2.36,2.36,7280
2020-05-05,2.36,2.42,2.35,2.39,54670
2020-05-06,2.42,2.42,2.39,2.41,3410
2020-05-07,2.45,2.45,2.42,2.44,17350
2020-05-08,2.49,2.51,2.47,2.5,90660
2020-05-11,2.5,2.67,2.5,2.67,48590
2020-05-12,2.7,2.85,2.7,2.85,13670
2020-05-13,3.04,3.04,3.0,3.04,43960
2020-05-14,3.25,3.25,3.2,3.25,43930
2020-05-15,3.47,3.47,3.2,3.24,114230
2020-05-18,3.02,3.3,3.02,3.02,68140
2020-05-19,3.02,3.1,2.96,3.02,44440
2020-05-20,2.91,3.09,2.9,2.95,52220
2020-05-21,2.89,3.0,2.86,2.9,35350
2020-05-22,2.91,3.02,2.91,3.0,17040
2020-05-25,3.02,3.02,2.91,2.91,9990
2020-05-26,2.93,2.93,2.75,2.92,40910
2020-05-27,3.0,3.12,2.86,3.12,41310
2020-05-28,3.3,3.3,3.12,3.2,20950
2020-05-29,3.2,3.25,3.07,3.07,8050
2020-06-01,3.02,3.24,3.01,3.2,37580
2020-06-02,3.4,3.4,3.1,3.1,20270
2020-06-03,3.19,3.19,3.1,3.1,9990
2020-06-04,3.1,3.1,3.01,3.1,22190
2020-06-05,3.1,3.25,3.1,3.25,25980
2020-06-08,3.25,3.44,3.23,3.42,74650
2020-06-09,3.45,3.65,3.45,3.65,113300
2020-06-10,3.9,3.9,3.65,3.9,45510
2020-06-11,4.17,4.17,4.0,4.0,126060
2020-06-12,3.72,3.72,3.72,3.72,46540
2020-06-15,3.46,3.72,3.46,3.48,54770
2020-06-16,3.25,3.71,3.25,3.7,29620
2020-06-17,3.47,3.65,3.45,3.45,31800
2020-06-18,3.6,3.6,3.26,3.47,10840
2020-06-19,3.61,3.61,3.5,3.51,9920
2020-06-22,3.55,3.55,3.32,3.55,10560
2020-06-23,3.55,3.55,3.41,3.52,25070
2020-06-24,3.52,3.52,3.44,3.45,18150
2020-06-25,3.31,3.53,3.31,3.5,3090
2020-06-26,3.38,3.5,3.38,3.41,21240
2020-06-29,3.35,3.4,3.32,3.4,37810
2020-06-30,3.28,3.34,3.28,3.32,25320
2020-07-01,3.4,3.4,3.3,3.39,30050
2020-07-02,3.39,3.4,3.39,3.4,20680
2020-07-03,3.45,3.45,3.41,3.42,10970
2020-07-06,3.32,3.4,3.32,3.4,6700
2020-07-07,3.4,3.42,3.38,3.42,10670
2020-07-08,3.4,3.44,3.35,3.4,13010
2020-07-09,3.43,3.63,3.43,3.49,28370
2020-07-10,3.49,3.55,3.45,3.5,6770
2020-07-13,3.58,3.58,3.46,3.46,1760
2020-07-14,3.59,3.59,3.4,3.56,4650
2020-07-15,3.45,3.55,3.45,3.55,3400
2020-07-16,3.45,3.48,3.35,3.35,8190
2020-07-17,3.35,3.38,3.12,3.17,34900
2020-07-20,3.17,3.17,3.12,3.12,2690
2020-07-21,3.12,3.3,3.12,3.3,9800
2020-07-22,3.3,3.33,3.21,3.29,14890
2020-07-23,3.29,3.29,3.13,3.13,13850
2020-07-24,3.13,3.13,3.07,3.07,1610
2020-07-27,2.86,3.08,2.86,2.86,2890
2020-07-28,2.67,2.99,2.67,2.89,16140
2020-07-29,2.71,2.72,2.69,2.7,77470
2020-07-30,2.53,2.73,2.53,2.6,190
2020-07-31,2.55,2.66,2.55,2.58,9320
2020-08-03,2.6,2.73,2.6,2.63,150
2020-08-04,2.74,2.81,2.74,2.8,11050
2020-08-05,2.8,2.92,2.8,2.92,33160
2020-08-06,3.1,3.1,3.05,3.05,2690
2020-08-07,3.14,3.14,3.09,3.09,480
2020-08-10,3.2,3.2,2.97,3.19,630
2020-08-11,3.1,3.1,3.05,3.1,4220
2020-08-12,3.1,3.25,3.08,3.19,2820
2020-08-13,3.05,3.19,3.0,3.05,8240
2020-08-14,3.05,3.05,2.98,3.05,5430
2020-08-17,3.05,3.05,3.0,3.02,10430
2020-08-18,3.1,3.1,3.1,3.1,1850
2020-08-19,3.23,3.23,3.05,3.05,4210
2020-08-20,3.04,3.13,3.04,3.13,8150
2020-08-21,3.1,3.15,3.06,3.15,7300
2020-08-24,3.15,3.2,3.08,3.2,11510
2020-08-25,3.2,3.2,3.15,3.2,4110
2020-08-26,3.2,3.3,3.2,3.3,47080
2020-08-27,3.3,3.31,3.3,3.3,12970
2020-08-28,3.32,3.35,3.3,3.35,9750
2020-08-31,3.35,3.35,3.12,3.3,32830
2020-09-01,3.28,3.28,3.25,3.28,2660
2020-09-03,3.2,3.2,3.2,3.2,2000
2020-09-04,3.34,3.34,3.34,3.34,20
2020-09-07,3.34,3.34,3.34,3.34,0
2020-09-08,3.2,3.33,3.17,3.33,13540
2020-09-09,3.12,3.33,3.12,3.33,2070
2020-09-10,3.33,3.33,3.33,3.33,24080
2020-09-11,3.12,3.3,3.12,3.3,9150
2020-09-14,3.39,3.45,3.39,3.43,12230
2020-09-15,3.47,3.5,3.4,3.5,3320
2020-09-16,3.5,3.61,3.5,3.61,17370
2020-09-17,3.69,3.69,3.61,3.61,3220
2020-09-18,3.65,3.65,3.61,3.61,5900
2020-09-21,3.66,3.69,3.65,3.69,7550
2020-09-22,3.47,3.8,3.47,3.8,51420
2020-09-23,3.8,3.99,3.8,3.87,15880
2020-09-24,3.99,3.99,3.85,3.95,14720
2020-09-25,4.0,4.08,3.9,4.08,51450
2020-09-28,4.08,4.15,4.07,4.13,20550
2020-09-29,4.13,4.3,4.1,4.3,71260
2020-09-30,4.1,4.29,4.1,4.11,410
2020-10-01,4.11,4.11,3.87,4.03,3500
2020-10-02,3.82,3.84,3.75,3.75,34200
2020-10-05,3.7,3.7,3.51,3.51,13170
2020-10-06,3.51,3.51,3.5,3.51,20000
2020-10-07,3.73,3.73,3.4,3.51,6160
2020-10-08,3.51,3.51,3.5,3.5,6850
2020-10-09,3.5,3.5,3.5,3.5,50
2020-10-12,3.5,3.5,3.5,3.5,510
2020-10-13,3.73,3.73,3.37,3.42,4220
2020-10-14,3.42,3.64,3.42,3.42,7270
2020-10-15,3.42,3.42,3.4,3.4,510
2020-10-16,3.35,3.47,3.28,3.28,38360
2020-10-19,3.28,3.5,3.28,3.5,41740
2020-10-20,3.7,3.7,3.35,3.5,10530
2020-10-21,3.6,3.6,3.35,3.42,3400
2020-10-22,3.6,3.61,3.5,3.5,27880
2020-10-23,3.7,3.73,3.58,3.58,28870
2020-10-26,3.6,3.75,3.6,3.75,40
2020-10-27,3.49,3.5,3.49,3.5,21700
2020-10-28,3.7,3.7,3.55,3.55,20
2020-10-29,3.55,3.55,3.55,3.55,0
2020-10-30,3.5,3.5,3.32,3.45,190
2020-11-02,3.44,3.44,3.23,3.23,310
2020-11-03,3.45,3.45,3.2,3.2,16930
2020-11-04,3.42,3.42,3.41,3.42,1170
2020-11-05,3.25,3.3,3.25,3.3,390
2020-11-06,3.13,3.46,3.13,3.46,250
2020-11-09,3.46,3.54,3.37,3.37,830
2020-11-10,3.4,3.44,3.4,3.44,21530
2020-11-11,3.4,3.5,3.4,3.44,12130
2020-11-12,3.4,3.47,3.3,3.4,4120
2020-11-13,3.4,3.6,3.4,3.43,5320
2020-11-16,3.42,3.59,3.42,3.48,52720
2020-11-17,3.7,3.7,3.6,3.66,4060
2020-11-18,3.5,3.5,3.44,3.44,4600
2020-11-19,3.42,3.6,3.42,3.44,11700
2020-11-20,3.58,3.62,3.5,3.5,37580
2020-11-23,3.5,3.5,3.5,3.5,8380
2020-11-24,3.5,3.5,3.35,3.35,8330
2020-11-25,3.4,3.54,3.4,3.54,3280
