time,open,high,low,close,volume
2020-01-02,39.87,39.87,39.87,39.87,0
2020-01-03,39.87,39.87,39.87,39.87,0
2020-01-06,39.87,39.87,39.87,39.87,0
2020-01-07,39.87,39.87,39.87,39.87,0
2020-01-08,39.87,39.87,39.87,39.87,0
2020-01-09,39.87,39.87,39.87,39.87,0
2020-01-10,39.87,39.87,39.87,39.87,0
2020-01-13,39.87,39.87,39.87,39.87,0
2020-01-14,39.87,39.87,39.87,39.87,0
2020-01-15,39.87,39.87,39.87,39.87,0
2020-01-16,39.87,39.87,39.87,39.87,20
2020-01-17,39.87,39.87,39.87,39.87,0
2020-01-20,39.04,39.04,39.04,39.04,100
2020-01-21,39.12,39.12,39.12,39.12,240
2020-01-22,39.12,39.12,39.12,39.12,0
2020-01-30,39.12,39.12,39.12,39.12,0
2020-01-31,39.12,39.12,39.12,39.12,100
2020-02-03,39.12,39.12,39.12,39.12,0
2020-02-04,39.12,39.12,39.12,39.12,0
2020-02-05,39.12,39.12,39.12,39.12,0
2020-02-06,38.74,38.74,38.74,38.74,100
2020-02-07,38.74,38.74,38.74,38.74,0
2020-02-10,38.74,38.74,38.74,38.74,0
2020-02-11,38.74,38.74,38.74,38.74,0
2020-02-12,38.74,38.74,38.74,38.74,0
2020-02-13,38.74,38.74,38.74,38.74,0
2020-02-14,38.74,38.74,38.74,38.74,0
2020-02-17,34.91,38.74,34.91,38.74,300
2020-02-18,34.91,34.91,34.91,34.91,100
2020-02-19,34.91,34.91,34.91,34.91,0
2020-02-20,36.11,36.19,36.11,36.19,400
2020-02-21,38.22,38.22,38.22,38.22,100
2020-02-24,34.45,36.19,34.45,36.19,200
2020-02-25,32.72,34.61,32.72,34.61,1000
2020-02-26,34.68,34.68,34.68,34.68,100
2020-02-27,31.22,35.36,31.22,35.36,200
2020-02-28,32.05,32.05,32.05,32.05,100
2020-03-02,32.05,32.05,32.05,32.05,0
2020-03-03,32.05,34.61,32.05,34.61,200
2020-03-04,32.12,32.12,32.12,32.12,100
2020-03-05,32.12,32.12,32.12,32.12,0
2020-03-06,32.12,32.12,32.12,32.12,0
2020-03-09,32.12,32.12,32.12,32.12,0
2020-03-10,29.72,34.98,29.72,34.98,200
2020-03-11,31.6,34.23,31.6,34.23,650
2020-03-12,30.92,31.6,30.92,31.6,300
2020-03-13,28.74,33.33,28.74,33.33,210
2020-03-16,30.02,30.02,30.02,30.02,100
2020-03-17,27.53,27.53,27.53,27.53,100
2020-03-18,27.53,27.53,27.53,27.53,100
2020-03-19,27.53,27.53,27.53,27.53,0
2020-03-20,30.09,30.24,24.83,30.02,4300
2020-03-23,27.08,29.94,27.08,29.94,210
2020-03-24,27.01,31.14,27.01,31.14,200
2020-03-25,28.06,28.06,28.06,28.06,6430
2020-03-26,28.06,28.06,28.06,28.06,100
2020-03-27,25.35,25.35,25.35,25.35,100
2020-03-30,27.76,27.83,27.76,27.83,300
2020-03-31,25.13,25.13,25.13,25.13,100
2020-04-01,22.79,22.79,22.79,22.79,100
2020-04-03,25.05,25.05,25.05,25.05,100
2020-04-06,27.08,27.08,27.08,27.08,600
2020-04-07,24.52,27.08,24.52,27.08,900
2020-04-08,27.08,27.08,27.08,27.08,0
2020-04-09,24.52,27.08,24.52,27.08,200
2020-04-10,24.68,24.68,24.68,24.68,100
2020-04-13,27.08,27.08,27.08,27.08,200
2020-04-14,24.68,29.34,24.68,29.34,200
2020-04-15,29.34,29.34,29.34,29.34,0
2020-04-16,26.41,26.41,26.41,26.41,100
2020-04-17,24.68,24.68,24.68,24.68,100
2020-04-20,27.08,27.08,27.08,27.08,300
2020-04-21,27.83,28.51,27.83,28.51,600
2020-04-22,27.23,28.51,27.23,28.51,200
2020-04-23,28.59,28.59,28.59,28.59,300
2020-04-24,25.73,25.73,25.73,25.73,100
2020-04-27,27.76,27.76,27.76,27.76,300
2020-04-28,27.76,27.76,27.76,27.76,0
2020-04-29,25.28,27.83,25.28,27.83,2600
2020-05-04,27.83,27.83,27.83,27.83,4900
2020-05-05,25.13,25.13,25.13,25.13,100
2020-05-06,27.61,27.61,27.61,27.61,100
2020-05-07,24.9,29.34,24.9,29.34,200
2020-05-08,26.41,26.41,26.41,26.41,100
2020-05-11,28.51,28.51,28.51,28.51,100
2020-05-12,28.51,28.51,28.51,28.51,0
2020-05-13,31.3,31.3,31.3,31.3,100
2020-05-14,28.59,28.59,28.59,28.59,1200
2020-05-15,28.51,28.51,28.51,28.51,100
2020-05-18,28.51,28.51,28.51,28.51,0
2020-05-19,28.51,28.51,28.51,28.51,0
