time,open,high,low,close,volume
2020-01-02,8.56,8.56,8.56,8.56,0
2020-01-03,8.56,8.56,8.56,8.56,0
2020-01-06,8.56,8.56,8.56,8.56,0
2020-01-07,8.56,8.56,8.56,8.56,0
2020-01-08,8.56,8.56,8.56,8.56,0
2020-01-09,8.56,8.56,8.56,8.56,0
2020-01-10,9.82,9.82,9.82,9.82,500
2020-01-13,9.82,9.82,9.82,9.82,0
2020-01-14,9.82,9.82,9.82,9.82,0
2020-01-15,9.82,9.82,9.82,9.82,0
2020-01-16,9.82,9.82,9.82,9.82,0
2020-01-17,9.82,9.82,9.82,9.82,0
2020-01-20,10.77,10.77,10.77,10.77,200
2020-01-21,10.77,10.77,10.77,10.77,0
2020-01-22,10.77,10.77,10.77,10.77,0
2020-01-30,10.77,10.77,10.77,10.77,0
2020-01-31,10.77,10.77,10.77,10.77,0
2020-02-03,10.77,10.77,10.77,10.77,0
2020-02-04,10.77,10.77,10.77,10.77,0
2020-02-05,10.77,10.77,10.77,10.77,0
2020-02-06,12.12,12.12,12.12,12.12,400
2020-02-07,12.12,12.12,12.12,12.12,0
2020-02-10,11.93,11.93,10.33,10.33,270
2020-02-11,11.02,11.02,11.02,11.02,120
2020-02-12,11.02,11.02,11.02,11.02,0
2020-02-13,11.02,11.02,11.02,11.02,0
2020-02-14,12.41,12.41,12.06,12.06,500
2020-02-17,12.35,12.06,12.06,12.06,0
2020-02-18,10.53,10.53,10.53,10.53,200
2020-02-19,12.06,12.06,12.06,12.06,100
2020-02-20,12.06,12.06,12.06,12.06,0
2020-02-21,12.06,12.06,12.06,12.06,0
2020-02-24,12.06,12.06,12.06,12.06,0
2020-02-25,12.06,12.06,12.06,12.06,0
2020-02-26,12.06,12.06,12.06,12.06,0
2020-02-27,12.06,12.06,12.06,12.06,0
2020-02-28,12.06,12.06,12.06,12.06,0
2020-03-02,12.03,12.03,12.03,12.03,2000
2020-03-03,12.03,12.03,12.03,12.03,0
2020-03-04,12.29,12.29,12.29,12.29,900
2020-03-05,12.29,12.29,12.29,12.29,0
2020-03-06,12.29,12.29,12.29,12.29,0
2020-03-09,12.29,12.29,12.29,12.29,0
2020-03-10,12.29,12.29,12.29,12.29,0
2020-03-11,12.29,12.29,12.29,12.29,0
2020-03-12,12.29,12.29,12.29,12.29,0
2020-03-13,12.29,12.29,12.29,12.29,0
2020-03-16,12.29,12.29,12.29,12.29,0
2020-03-17,12.29,12.29,12.29,12.29,0
2020-03-18,12.29,12.29,12.29,12.29,0
2020-03-19,12.29,12.29,12.29,12.29,0
2020-03-20,12.29,12.29,12.29,12.29,0
2020-03-23,12.29,12.29,12.29,12.29,0
2020-03-24,12.29,12.29,12.29,12.29,0
2020-03-25,12.29,12.29,12.29,12.29,0
2020-03-26,12.29,12.29,12.29,12.29,0
2020-03-27,12.29,12.29,12.29,12.29,0
2020-03-30,12.29,12.29,12.29,12.29,0
2020-03-31,12.12,12.12,12.12,12.12,200
2020-04-01,12.12,12.12,12.12,12.12,0
2020-04-03,12.12,12.12,12.12,12.12,0
2020-04-06,12.12,12.12,12.12,12.12,0
2020-04-07,12.12,12.12,12.12,12.12,0
2020-04-08,12.12,12.12,12.12,12.12,0
2020-04-09,12.12,12.12,12.12,12.12,0
2020-04-10,12.12,12.12,12.12,12.12,0
2020-04-13,12.12,12.12,12.12,12.12,0
2020-04-14,12.12,12.12,12.12,12.12,0
2020-04-15,12.12,12.12,12.12,12.12,0
2020-04-16,12.12,12.12,12.12,12.12,0
2020-04-17,12.12,12.12,12.12,12.12,0
2020-04-20,12.12,12.12,12.12,12.12,0
2020-04-21,12.12,12.12,12.12,12.12,0
2020-04-22,12.12,12.12,12.12,12.12,0
2020-04-23,12.12,12.12,12.12,12.12,0
2020-04-24,12.12,12.12,12.12,12.12,0
2020-04-27,12.12,12.12,12.12,12.12,0
2020-04-28,12.12,12.12,12.12,12.12,0
2020-04-29,12.06,12.06,12.06,12.06,100
2020-05-04,12.06,12.06,11.99,11.99,600
2020-05-05,12.06,11.99,11.99,11.99,0
2020-05-06,12.06,11.99,11.99,11.99,0
2020-05-07,12.06,11.99,11.99,11.99,0
2020-05-08,12.06,11.99,11.99,11.99,0
2020-05-11,12.06,11.99,11.99,11.99,0
2020-05-12,12.06,11.99,11.99,11.99,0
2020-05-13,12.06,11.99,11.99,11.99,0
2020-05-14,12.06,11.99,11.99,11.99,0
2020-05-15,12.06,11.99,11.99,11.99,0
2020-05-18,12.06,11.99,11.99,11.99,0
2020-05-19,12.06,11.99,11.99,11.99,0
2020-05-20,10.28,10.28,10.28,10.28,500
2020-05-21,8.75,8.75,8.75,8.75,530
2020-05-22,8.75,10.02,8.75,10.02,1200
2020-05-25,10.37,10.37,10.37,10.37,1100
2020-05-26,10.37,10.37,10.37,10.37,0
2020-05-27,10.37,10.37,10.37,10.37,0
2020-05-28,11.83,11.83,8.82,8.82,1500
2020-05-29,8.88,8.88,8.88,8.88,1700
2020-06-01,7.62,7.62,7.55,7.55,950
2020-06-02,8.07,8.07,8.07,8.07,100
2020-06-03,7.78,7.78,7.58,7.58,3340
2020-06-04,6.64,6.68,6.64,6.64,700
2020-06-05,6.61,7.13,6.61,7.13,1000
2020-06-08,7.29,7.29,7.29,7.29,200
2020-06-09,7.29,7.29,7.29,7.29,0
2020-06-10,7.46,7.46,7.46,7.46,200
2020-06-11,7.46,7.46,7.46,7.46,0
2020-06-12,8.56,8.56,8.56,8.56,100
2020-06-15,8.56,8.56,8.56,8.56,0
2020-06-16,8.56,8.56,8.56,8.56,0
2020-06-17,8.56,8.56,8.56,8.56,0
2020-06-18,8.56,8.56,8.56,8.56,0
2020-06-19,8.56,8.56,8.56,8.56,0
2020-06-22,8.56,8.56,8.56,8.56,0
2020-06-23,8.56,8.56,8.56,8.56,0
2020-06-24,8.56,8.56,8.56,8.56,0
2020-06-25,8.56,8.56,8.56,8.56,0
2020-06-26,8.56,8.56,8.56,8.56,0
2020-06-29,8.56,8.56,8.56,8.56,0
2020-06-30,8.56,8.56,8.56,8.56,0
2020-07-01,8.53,8.53,7.78,7.78,600
2020-07-02,8.23,7.78,7.78,7.78,0
2020-07-03,8.23,7.78,7.78,7.78,0
2020-07-06,8.23,7.78,7.78,7.78,0
2020-07-07,8.23,7.78,7.78,7.78,0
2020-07-08,8.23,7.78,7.78,7.78,0
2020-07-09,8.23,7.78,7.78,7.78,0
2020-07-10,8.23,7.78,7.78,7.78,0
2020-07-13,8.23,7.78,7.78,7.78,0
2020-07-14,8.23,7.78,7.78,7.78,0
2020-07-15,8.23,7.78,7.78,7.78,0
2020-07-16,8.23,7.78,7.78,7.78,0
2020-07-17,9.3,9.3,9.3,9.3,1000
2020-07-20,9.3,9.3,9.3,9.3,10
2020-07-21,7.91,7.91,7.91,7.91,100
2020-07-22,7.91,7.91,7.91,7.91,2000
2020-07-23,7.91,7.91,7.91,7.91,900
2020-07-24,7.84,8.65,7.84,8.65,1200
2020-07-27,8.65,8.65,7.78,7.91,800
2020-07-28,7.13,8.85,7.13,8.85,1130
2020-07-29,8.88,8.88,8.88,8.88,100
2020-07-30,8.88,8.88,8.88,8.88,0
2020-07-31,7.78,7.78,7.78,7.78,100
2020-08-03,7.78,8.72,7.78,8.72,800
2020-08-04,7.46,7.46,7.46,7.46,100
2020-08-05,8.53,8.53,8.53,8.53,100
2020-08-06,8.53,8.53,8.53,8.53,80
2020-08-07,8.53,8.53,8.53,8.53,0
2020-08-10,8.56,8.75,8.56,8.56,1620
2020-08-11,9.21,9.21,9.21,9.21,300
2020-08-12,9.21,9.21,9.21,9.21,0
2020-08-13,9.21,9.21,9.21,9.21,0
2020-08-14,9.21,9.21,9.21,9.21,0
2020-08-17,9.21,9.21,9.21,9.21,0
2020-08-18,9.21,9.21,9.21,9.21,0
2020-08-19,9.21,9.21,9.21,9.21,0
2020-08-20,9.21,9.21,9.21,9.21,0
2020-08-21,9.21,9.54,9.54,9.54,0
2020-08-24,9.21,9.54,9.54,9.54,0
2020-08-25,9.21,9.54,9.54,9.54,0
2020-08-26,9.21,9.21,9.21,9.54,1
2020-08-27,9.21,9.54,9.54,9.54,0
2020-08-28,7.9,7.9,7.9,7.9,100
2020-08-31,7.73,8.37,7.06,8.37,1900
2020-09-01,7.06,7.06,7.06,7.06,500
2020-09-03,8.1,8.1,8.06,8.06,2500
2020-09-04,8.33,8.33,8.33,8.33,1000
2020-09-07,8.4,8.4,8.4,8.4,600
2020-09-08,8.4,8.4,8.4,8.4,0
2020-09-09,8.7,8.7,8.7,8.7,300
2020-09-10,8.7,8.7,8.7,8.7,0
2020-09-11,7.46,8.4,7.46,8.4,700
2020-09-14,8.7,8.7,8.7,8.7,300
2020-09-15,8.4,8.4,8.4,8.4,500
2020-09-16,8.67,8.67,8.67,8.67,200
2020-09-17,8.67,8.67,8.67,8.67,0
2020-09-18,8.4,8.4,8.4,8.4,200
2020-09-21,8.57,8.57,8.06,8.53,1600
2020-09-22,8.67,9.07,8.63,9.07,1700
2020-09-23,9.91,9.91,9.64,9.64,700
2020-09-24,9.88,9.64,9.64,9.64,0
2020-09-25,9.88,9.64,9.64,9.64,0
2020-09-28,9.88,9.64,9.64,9.64,0
2020-09-29,9.88,9.64,9.64,9.64,0
2020-09-30,9.88,9.64,9.64,9.64,0
2020-10-01,9.88,9.64,9.64,9.64,0
2020-10-02,9.88,9.64,9.64,9.64,0
2020-10-05,11.32,11.32,11.32,11.32,400
2020-10-06,11.32,11.32,11.32,11.32,0
2020-10-07,9.64,9.64,9.64,9.64,100
2020-10-08,11.09,11.09,11.09,11.09,100
2020-10-09,9.44,9.44,9.44,9.44,100
2020-10-12,10.01,10.01,10.01,10.01,300
2020-10-13,10.01,10.01,10.01,10.01,0
2020-10-14,10.01,10.01,10.01,10.01,0
2020-10-15,10.01,10.01,10.01,10.01,0
2020-10-16,11.02,11.02,11.02,11.02,1500
2020-10-19,11.02,11.02,11.02,11.02,0
2020-10-20,11.02,11.02,11.02,11.02,0
2020-10-21,11.02,11.02,11.02,11.02,0
