time,open,high,low,close,volume
2020-01-02,1.5,1.6,1.5,1.6,25200
2020-01-03,1.5,1.6,1.5,1.6,82010
2020-01-06,1.6,1.6,1.6,1.6,0
2020-01-07,1.6,1.6,1.6,1.6,0
2020-01-08,1.6,1.6,1.6,1.6,0
2020-01-09,1.6,1.6,1.6,1.6,0
2020-01-10,1.5,1.6,1.5,1.6,100900
2020-01-13,1.6,1.6,1.6,1.6,0
2020-01-14,1.6,1.6,1.6,1.6,0
2020-01-15,1.6,1.6,1.6,1.6,0
2020-01-16,1.6,1.6,1.6,1.6,0
2020-01-17,1.5,1.6,1.5,1.6,131300
2020-01-20,1.6,1.6,1.6,1.6,0
2020-01-21,1.6,1.6,1.6,1.6,0
2020-01-22,1.6,1.6,1.6,1.6,0
2020-01-30,1.6,1.6,1.6,1.6,0
2020-01-31,1.5,1.6,1.5,1.6,21300
2020-02-03,1.6,1.6,1.6,1.6,0
2020-02-04,1.6,1.6,1.6,1.6,0
2020-02-05,1.6,1.6,1.6,1.6,0
2020-02-06,1.6,1.6,1.6,1.6,0
2020-02-07,1.5,1.6,1.5,1.6,40000
2020-02-10,1.6,1.6,1.6,1.6,0
2020-02-11,1.6,1.6,1.6,1.6,0
2020-02-12,1.6,1.6,1.6,1.6,0
2020-02-13,1.6,1.6,1.6,1.6,0
2020-02-14,1.5,1.6,1.5,1.6,47700
2020-02-17,1.6,1.6,1.6,1.6,0
2020-02-18,1.6,1.6,1.6,1.6,0
2020-02-19,1.6,1.6,1.6,1.6,0
2020-02-20,1.6,1.6,1.6,1.6,0
2020-02-21,1.5,1.6,1.5,1.6,125100
2020-02-24,1.6,1.6,1.6,1.6,0
2020-02-25,1.6,1.6,1.6,1.6,0
2020-02-26,1.6,1.6,1.6,1.6,0
2020-02-27,1.6,1.6,1.6,1.6,0
2020-02-28,1.5,1.6,1.5,1.6,51000
2020-03-02,1.6,1.6,1.6,1.6,0
2020-03-03,1.6,1.6,1.6,1.6,0
2020-03-04,1.6,1.6,1.6,1.6,0
2020-03-05,1.6,1.6,1.6,1.6,0
2020-03-06,1.5,1.6,1.5,1.6,45412
2020-03-09,1.6,1.6,1.6,1.6,0
2020-03-10,1.6,1.6,1.6,1.6,0
2020-03-11,1.6,1.6,1.6,1.6,0
2020-03-12,1.6,1.6,1.6,1.6,0
2020-03-13,1.5,1.6,1.5,1.6,280000
2020-03-16,1.6,1.6,1.6,1.6,0
2020-03-17,1.6,1.6,1.6,1.6,0
2020-03-18,1.6,1.6,1.6,1.6,0
2020-03-19,1.6,1.6,1.6,1.6,0
2020-03-20,1.5,1.6,1.5,1.6,577400
2020-03-23,1.6,1.6,1.6,1.6,0
2020-03-24,1.6,1.6,1.6,1.6,0
2020-03-25,1.6,1.6,1.6,1.6,0
2020-03-26,1.6,1.6,1.6,1.6,0
2020-03-27,1.5,1.6,1.5,1.6,134700
2020-03-30,1.6,1.6,1.6,1.6,0
2020-03-31,1.6,1.6,1.6,1.6,0
2020-04-01,1.6,1.6,1.6,1.6,0
2020-04-03,1.6,1.6,1.6,1.6,0
