time,open,high,low,close,volume
2020-01-02,6.02,6.02,6.02,6.02,100
2020-01-03,6.02,6.02,6.02,6.02,100
2020-01-06,6.44,6.44,6.44,6.44,260
2020-01-07,6.0,6.78,6.0,6.78,20
2020-01-08,6.32,6.32,6.32,6.32,10
2020-01-09,6.32,6.32,6.32,6.32,0
2020-01-10,6.32,6.32,6.32,6.32,10
2020-01-13,5.92,5.92,5.92,5.92,10
2020-01-14,5.92,5.92,5.92,5.92,0
2020-01-15,6.32,6.32,5.69,5.69,3010
2020-01-16,6.09,6.09,6.09,6.09,10
2020-01-17,6.51,6.51,6.51,6.51,10
2020-01-20,6.44,6.44,6.28,6.28,20
2020-01-21,6.28,6.28,6.28,6.28,0
2020-01-22,6.28,6.44,6.28,6.44,110
2020-01-30,6.44,6.44,6.44,6.44,0
2020-01-31,6.44,6.44,6.44,6.44,0
2020-02-03,6.02,6.02,6.0,6.0,140
2020-02-04,6.0,6.0,6.0,6.0,0
2020-02-05,6.0,6.0,6.0,6.0,0
2020-02-06,6.02,6.02,6.02,6.02,740
2020-02-07,5.67,6.02,5.67,5.73,1130
2020-02-10,6.02,6.02,6.02,6.02,600
2020-02-11,6.02,6.02,6.02,6.02,50
2020-02-12,5.63,6.42,5.63,6.42,660
2020-02-13,5.98,6.42,5.98,6.42,20
2020-02-14,6.42,6.42,6.42,6.42,0
2020-02-17,6.84,6.84,6.84,6.84,510
2020-02-18,6.38,7.05,6.38,7.05,360
2020-02-19,7.05,7.05,7.05,7.05,0
2020-02-20,7.53,7.53,6.57,6.99,40
2020-02-21,7.09,7.09,7.09,7.09,10
2020-02-24,7.57,7.57,6.61,6.63,350
2020-02-25,6.17,6.17,6.17,6.17,10
2020-02-26,5.75,5.75,5.75,5.75,10
2020-02-27,5.38,5.38,5.38,5.38,10
2020-02-28,5.73,5.73,5.73,5.73,10
2020-03-02,5.33,5.33,5.33,5.33,10
2020-03-03,5.69,5.69,4.98,5.69,1710
2020-03-04,6.09,6.09,6.09,6.09,20
2020-03-05,6.48,6.48,6.48,6.48,20
2020-03-06,6.92,6.92,6.05,6.92,3050
2020-03-09,6.94,6.94,6.48,6.48,40
2020-03-10,6.48,6.48,6.48,6.48,0
2020-03-11,6.07,6.07,6.07,6.07,30
2020-03-12,5.65,5.65,5.65,5.65,10
2020-03-13,5.27,5.27,5.27,5.27,20
2020-03-16,5.63,5.63,5.63,5.63,910
2020-03-17,5.29,5.63,5.29,5.63,30
2020-03-18,5.63,5.63,5.63,5.63,10
2020-03-19,6.0,6.0,5.63,5.63,20
2020-03-20,5.25,6.0,5.25,6.0,4540
2020-03-23,5.98,6.42,5.59,5.59,1330
2020-03-24,5.96,5.96,5.86,5.86,30
2020-03-25,6.0,6.05,6.0,6.05,20
2020-03-26,5.63,6.05,5.63,5.63,4330
2020-03-27,5.92,5.96,5.78,5.78,40
2020-03-30,6.18,6.18,5.4,5.4,20
2020-03-31,5.78,5.78,5.03,5.78,2010
2020-04-01,6.18,6.18,5.38,6.18,8050
2020-04-03,6.45,6.45,5.78,6.43,660
2020-04-06,5.98,6.32,5.98,6.32,3220
2020-04-07,5.89,5.92,5.89,5.92,5670
2020-04-08,6.32,6.32,5.74,6.27,670
2020-04-09,5.85,6.43,5.85,6.43,40
2020-04-10,6.43,6.43,6.43,6.43,0
2020-04-13,5.98,5.98,5.98,5.98,680
2020-04-14,5.96,5.96,5.92,5.96,390
2020-04-15,5.6,6.21,5.6,6.21,30
2020-04-16,6.21,6.21,6.21,6.21,0
2020-04-17,6.21,6.21,6.21,6.21,0
2020-04-20,6.01,6.01,6.01,6.01,750
2020-04-21,6.01,6.01,6.01,6.01,10
2020-04-22,5.65,5.69,5.65,5.69,400
2020-04-23,6.07,6.07,6.07,6.07,130
2020-04-24,6.43,6.43,6.43,6.43,10
2020-04-27,6.27,6.27,6.01,6.23,610
2020-04-28,6.23,6.23,6.23,6.23,0
2020-04-29,6.23,6.23,6.23,6.23,0
2020-05-04,6.23,6.23,6.23,6.23,780
2020-05-05,6.65,6.65,6.49,6.49,70
2020-05-06,6.23,6.23,6.23,6.23,350
2020-05-07,6.23,6.23,6.23,6.23,0
2020-05-08,6.23,6.23,6.23,6.23,0
2020-05-11,5.83,6.23,5.83,5.83,160
2020-05-12,5.83,5.83,5.83,5.83,0
2020-05-13,5.92,5.92,5.92,5.92,480
2020-05-14,6.27,6.27,6.27,6.27,30
2020-05-15,6.27,6.27,6.27,6.27,0
2020-05-18,6.27,6.27,6.27,6.27,0
2020-05-19,6.27,6.27,6.27,6.27,0
2020-05-20,6.27,6.27,6.27,6.27,0
2020-05-21,6.27,6.27,6.27,6.27,0
2020-05-22,5.85,5.85,5.85,5.85,10
2020-05-25,5.85,5.85,5.85,5.85,0
2020-05-26,6.01,6.23,6.01,6.23,320
2020-05-27,6.01,6.36,6.01,6.36,70
2020-05-28,6.36,6.45,6.32,6.32,1350
2020-05-29,6.49,6.49,6.49,6.49,3170
2020-06-01,6.49,6.49,6.49,6.49,0
2020-06-02,6.09,6.09,6.09,6.09,190
2020-06-03,6.09,6.09,6.09,6.09,50
2020-06-04,6.09,6.09,6.09,6.09,0
2020-06-05,6.09,6.09,6.09,6.09,0
2020-06-08,6.14,6.14,6.14,6.14,290
2020-06-09,6.14,6.14,6.14,6.14,800
2020-06-10,6.14,6.14,6.14,6.14,0
2020-06-11,6.14,6.14,6.14,6.14,0
2020-06-12,6.05,6.05,6.05,6.05,200
2020-06-15,6.05,6.05,6.05,6.05,0
2020-06-16,6.05,6.05,6.05,6.05,0
2020-06-17,6.23,6.23,6.23,6.23,110
2020-06-18,6.23,6.23,6.23,6.23,0
2020-06-19,6.01,6.01,6.01,6.01,270
2020-06-22,6.01,6.01,6.01,6.01,0
2020-06-23,6.01,6.01,6.01,6.01,0
2020-06-24,6.01,6.01,6.01,6.01,0
2020-06-25,6.01,6.01,6.01,6.01,0
2020-06-26,6.01,6.01,6.01,6.01,0
2020-06-29,6.01,6.01,6.01,6.01,0
2020-06-30,6.01,6.01,6.01,6.01,0
2020-07-01,6.41,6.41,6.41,6.41,340
2020-07-02,6.85,6.85,6.85,6.85,10
2020-07-03,7.12,7.12,6.38,7.12,3320
2020-07-06,7.12,7.12,7.12,7.12,0
2020-07-07,7.12,7.12,7.12,7.12,0
2020-07-08,7.12,7.12,7.12,7.12,1220
2020-07-09,7.12,7.12,7.12,7.12,4440
2020-07-10,7.12,7.12,7.12,7.12,2400
2020-07-13,7.12,7.12,7.12,7.12,0
2020-07-14,7.07,7.12,7.07,7.12,1010
2020-07-15,7.12,7.12,7.12,7.12,0
2020-07-16,7.12,7.12,7.12,7.12,0
2020-07-17,7.12,7.12,7.12,7.12,0
2020-07-20,7.12,7.12,7.12,7.12,0
2020-07-21,7.12,7.12,7.12,7.12,0
2020-07-22,7.12,7.12,7.12,7.12,100
