time,open,high,low,close,volume
2020-01-02,6.2,6.2,6.2,6.2,0
2020-01-03,6.2,6.2,6.2,6.2,0
2020-01-06,6.2,6.2,6.2,6.2,0
2020-01-07,6.2,6.2,6.2,6.2,0
2020-01-08,6.2,6.2,6.2,6.2,0
2020-01-09,6.2,6.2,6.2,6.2,0
2020-01-10,6.2,6.2,6.2,6.2,0
2020-01-13,6.2,6.2,6.2,6.2,0
2020-01-14,6.2,6.2,6.2,6.2,0
2020-01-15,6.2,6.2,6.2,6.2,0
2020-01-16,6.2,6.2,6.2,6.2,0
2020-01-17,6.2,6.2,6.2,6.2,0
2020-01-20,6.2,6.2,6.2,6.2,0
2020-01-21,6.2,6.2,6.2,6.2,0
2020-01-22,6.2,6.2,6.2,6.2,0
2020-01-30,6.2,6.2,6.2,6.2,0
2020-01-31,6.2,6.2,6.2,6.2,0
2020-02-03,6.2,6.2,6.2,6.2,0
2020-02-04,6.2,6.2,6.2,6.2,0
2020-02-05,6.2,6.2,6.2,6.2,0
2020-02-06,6.2,6.2,6.2,6.2,0
2020-02-07,6.2,6.2,6.2,6.2,0
2020-02-10,6.2,6.2,6.2,6.2,0
2020-02-11,6.2,6.2,6.2,6.2,0
2020-02-12,6.2,6.2,6.2,6.2,0
2020-02-13,6.2,6.2,6.2,6.2,0
2020-02-14,6.2,6.2,6.2,6.2,0
2020-02-17,6.2,6.2,6.2,6.2,0
2020-02-18,6.2,6.2,6.2,6.2,0
2020-02-19,6.2,6.2,6.2,6.2,0
2020-02-20,6.2,6.2,6.2,6.2,0
2020-02-21,6.2,6.2,6.2,6.2,0
2020-02-24,6.2,6.2,6.2,6.2,0
2020-02-25,7.7,7.7,7.7,7.7,200
2020-02-26,7.7,7.7,7.7,7.7,0
2020-02-27,7.7,7.7,7.7,7.7,0
2020-02-28,7.7,7.7,7.7,7.7,76
2020-03-02,7.7,7.7,7.7,7.7,0
2020-03-03,7.7,7.7,7.7,7.7,0
2020-03-04,7.7,7.7,7.7,7.7,0
2020-03-05,7.7,7.7,7.7,7.7,0
2020-03-06,7.7,7.7,7.7,7.7,0
2020-03-09,8.8,8.8,8.8,8.8,100
2020-03-10,10.1,10.1,10.1,10.1,101
2020-03-11,11.6,11.6,11.6,11.6,100
2020-03-12,13.2,13.2,13.2,13.2,100
2020-03-13,15.0,15.1,15.0,15.1,300
2020-03-16,16.9,17.0,16.9,16.9,782
2020-03-17,16.9,19.4,16.5,16.5,1646
2020-03-18,17.8,16.5,16.5,16.5,0
2020-03-19,17.8,16.5,16.5,16.5,0
2020-03-20,20.3,20.3,20.3,20.3,150
2020-03-23,20.3,20.3,20.3,20.3,0
2020-03-24,20.3,20.3,20.3,20.3,0
2020-03-25,20.3,20.3,20.3,20.3,0
2020-03-26,20.3,20.3,20.3,20.3,0
2020-03-27,20.3,20.3,20.3,20.3,0
2020-03-30,20.3,20.3,20.3,20.3,0
2020-03-31,20.3,20.3,20.3,20.3,0
2020-04-01,20.3,20.3,20.3,20.3,0
2020-04-03,23.3,23.3,17.3,17.3,600
2020-04-06,15.6,15.6,15.6,15.6,100
2020-04-07,13.5,15.0,13.5,15.0,3200
2020-04-08,12.7,14.9,12.7,14.9,300
2020-04-09,14.9,14.9,14.9,14.9,200
2020-04-10,14.9,14.9,14.9,14.9,0
2020-04-13,17.0,17.0,17.0,17.0,200
2020-04-14,14.5,14.5,14.5,14.5,100
2020-04-15,14.5,14.5,14.5,14.5,0
2020-04-16,14.5,14.5,14.5,14.5,0
2020-04-17,16.6,16.6,16.6,16.6,102
2020-04-20,19.0,19.0,14.2,18.4,1700
2020-04-21,18.4,18.4,18.4,18.4,200
2020-04-22,15.7,15.7,15.7,15.7,100
2020-04-23,15.7,15.7,15.7,15.7,0
2020-04-24,18.0,18.0,18.0,18.0,100
2020-04-27,15.3,18.7,15.3,18.7,1700
2020-04-28,19.2,19.2,14.8,14.8,1200
2020-04-29,13.0,13.0,13.0,13.0,1200
2020-05-04,13.0,13.0,13.0,13.0,0
2020-05-05,14.8,14.8,14.8,14.8,100
2020-05-06,16.4,16.4,16.4,16.4,226
2020-05-07,17.7,17.7,17.7,17.7,500
2020-05-08,17.7,17.7,17.7,17.7,0
2020-05-11,17.7,17.7,17.7,17.7,0
2020-05-12,18.2,18.2,18.2,18.2,100
2020-05-13,18.2,18.2,18.2,18.2,0
2020-05-14,18.8,18.8,18.8,18.8,200
2020-05-15,19.4,19.4,19.4,19.4,300
2020-05-18,16.5,19.3,16.5,19.3,1350
2020-05-19,16.9,19.3,19.3,19.3,0
2020-05-20,16.9,19.3,19.3,19.3,0
2020-05-21,16.5,16.5,16.5,16.5,100
2020-05-22,16.5,16.5,16.5,16.5,0
2020-05-25,14.5,14.5,14.1,14.1,1200
2020-05-26,12.2,12.2,12.2,12.2,2900
2020-05-27,14.0,14.0,14.0,14.0,100
2020-05-28,16.1,16.1,16.1,16.1,100
2020-05-29,16.1,16.1,16.1,16.1,0
2020-06-01,16.1,16.1,16.1,16.1,0
2020-06-02,18.4,18.4,18.4,18.4,102
2020-06-03,20.4,20.4,15.7,15.7,210
2020-06-04,18.1,15.7,15.7,15.7,0
2020-06-05,18.1,15.7,15.7,15.7,0
2020-06-08,19.9,19.9,19.9,19.9,100
2020-06-09,19.9,19.9,19.9,19.9,0
2020-06-10,17.0,17.0,17.0,17.0,100
2020-06-11,18.9,18.9,18.9,18.9,104
2020-06-12,18.9,18.9,18.9,18.9,0
2020-06-15,18.9,18.9,18.9,18.9,0
2020-06-16,18.9,18.9,18.9,18.9,0
2020-06-17,18.9,18.9,18.9,18.9,0
2020-06-18,18.9,18.9,18.9,18.9,0
2020-06-19,18.9,18.9,18.9,18.9,0
2020-06-22,18.9,18.9,18.9,18.9,0
2020-06-23,16.1,16.1,16.1,16.1,100
2020-06-24,18.5,18.5,18.5,18.5,100
2020-06-25,18.5,18.5,18.5,18.5,0
2020-06-26,18.5,18.5,18.5,18.5,0
2020-06-29,18.5,18.5,18.5,18.5,0
2020-06-30,18.5,18.5,18.5,18.5,0
2020-07-01,21.1,21.1,21.1,21.1,100
2020-07-02,21.1,21.1,21.1,21.1,0
2020-07-03,24.1,24.1,24.1,24.1,100
2020-07-06,24.1,24.1,24.1,24.1,0
2020-07-07,24.1,24.1,24.1,24.1,0
2020-07-08,24.1,24.1,24.1,24.1,0
2020-07-09,24.1,24.1,24.1,24.1,0
2020-07-10,24.1,24.1,24.1,24.1,0
2020-07-13,24.1,24.1,24.1,24.1,0
2020-07-14,24.1,24.1,24.1,24.1,0
2020-07-15,24.1,24.1,24.1,24.1,0
2020-07-16,24.1,24.1,24.1,24.1,0
2020-07-17,24.1,24.1,24.1,24.1,0
2020-07-20,24.1,24.1,24.1,24.1,0
2020-07-21,24.1,24.1,24.1,24.1,0
2020-07-22,24.1,24.1,24.1,24.1,0
2020-07-23,24.1,24.1,24.1,24.1,0
2020-07-24,24.1,24.1,24.1,24.1,0
2020-07-27,24.1,24.1,24.1,24.1,0
2020-07-28,24.1,24.1,24.1,24.1,0
2020-07-29,24.1,24.1,24.1,24.1,0
2020-07-30,24.1,24.1,24.1,24.1,6
2020-07-31,24.1,24.1,24.1,24.1,0
2020-08-03,24.1,24.1,24.1,24.1,0
2020-08-04,24.1,24.1,24.1,24.1,0
2020-08-05,24.1,24.1,24.1,24.1,0
2020-08-06,24.1,24.1,24.1,24.1,0
2020-08-07,24.1,24.1,24.1,24.1,0
2020-08-10,24.1,24.1,24.1,24.1,0
2020-08-11,24.1,24.1,24.1,24.1,0
2020-08-12,24.1,24.1,24.1,24.1,0
2020-08-13,24.1,24.1,24.1,24.1,0
2020-08-14,20.5,20.5,20.5,20.5,1000
2020-08-17,17.5,23.0,17.5,17.5,34709
2020-08-18,18.4,20.0,16.1,18.1,63621
2020-08-19,18.0,19.9,17.3,17.9,32121
2020-08-20,17.9,17.9,16.0,16.7,8824
2020-08-21,16.4,16.4,14.7,14.7,9410
2020-08-24,15.0,15.0,13.2,14.0,18056
2020-08-25,13.6,15.6,13.6,15.6,9045
2020-08-26,16.8,16.8,13.3,14.0,13312
2020-08-27,13.1,14.7,13.1,14.7,9200
2020-08-28,12.1,14.7,12.1,13.1,4400
2020-08-31,12.5,13.1,12.5,13.1,3186
2020-09-01,12.4,13.5,12.4,13.5,2510
2020-09-03,12.8,13.5,12.8,13.5,4110
2020-09-04,13.6,14.5,13.5,13.7,6180
2020-09-07,13.8,15.0,13.8,15.0,12100
2020-09-08,15.8,16.0,15.8,16.0,500
2020-09-09,15.8,15.8,15.5,15.5,5146
2020-09-10,17.8,17.8,15.1,15.5,11400
2020-09-11,16.4,16.4,15.5,15.5,3210
2020-09-14,17.3,17.3,14.6,15.8,15800
2020-09-15,16.4,16.4,16.4,16.4,500
2020-09-16,16.7,16.7,14.2,15.8,5100
2020-09-17,16.1,16.1,14.9,15.7,11331
2020-09-18,16.4,16.4,15.9,15.9,222
2020-09-21,15.0,15.7,15.0,15.0,4000
2020-09-22,15.0,15.9,15.0,15.9,11700
2020-09-23,17.5,17.5,15.6,15.6,40311
2020-09-24,15.6,15.6,15.3,15.3,400
2020-09-25,15.0,15.0,15.0,15.0,3600
2020-09-28,14.9,15.0,14.9,15.0,800
2020-09-29,14.8,14.8,14.8,14.8,500
2020-09-30,14.8,14.8,14.8,14.8,240
2020-10-01,14.7,14.7,14.7,14.7,800
2020-10-02,14.7,14.7,14.7,14.7,2700
2020-10-05,14.7,14.7,14.7,14.7,1200
2020-10-06,14.7,14.7,14.6,14.6,700
2020-10-07,14.6,14.8,14.6,14.8,2200
2020-10-08,14.7,14.7,14.7,14.7,100
2020-10-09,14.7,14.7,14.7,14.7,0
2020-10-12,14.7,14.7,14.7,14.7,0
2020-10-13,14.6,14.6,14.6,14.6,300
2020-10-14,14.6,14.6,14.6,14.6,0
2020-10-15,14.7,14.8,14.7,14.8,10100
2020-10-16,14.8,14.8,14.8,14.8,0
2020-10-19,14.8,14.8,14.8,14.8,0
2020-10-20,12.7,14.7,12.7,14.7,700
2020-10-21,14.1,14.7,14.7,14.7,0
2020-10-22,14.1,14.7,14.7,14.7,0
2020-10-23,14.1,14.1,14.1,14.1,500
2020-10-26,14.1,14.1,14.1,14.1,0
2020-10-27,14.1,14.1,14.1,14.1,700
2020-10-28,14.1,14.1,14.1,14.1,0
2020-10-29,14.1,14.1,14.1,14.1,0
2020-10-30,14.1,14.1,14.1,14.1,0
2020-11-02,14.1,14.1,14.1,14.1,0
2020-11-03,14.1,14.1,14.1,14.1,0
2020-11-04,14.1,14.1,14.1,14.1,0
2020-11-05,14.1,14.1,14.1,14.1,0
2020-11-06,14.1,14.1,14.1,14.1,0
2020-11-09,14.1,14.1,14.1,14.1,0
2020-11-10,14.1,14.1,14.1,14.1,0
2020-11-11,14.1,14.1,14.1,14.1,0
2020-11-12,14.1,14.1,14.1,14.1,0
2020-11-13,14.1,14.1,14.0,14.0,200
