time,open,high,low,close,volume
2020-01-02,14.41,16.57,16.57,16.57,0
2020-01-03,14.41,16.57,16.57,16.57,0
2020-01-06,14.41,16.57,16.57,16.57,0
2020-01-07,14.41,16.57,16.57,16.57,0
2020-01-08,16.57,16.57,16.57,16.57,100
2020-01-09,16.01,16.01,16.01,16.01,5000
2020-01-10,16.01,16.01,16.01,16.01,300
2020-01-13,14.41,14.41,14.41,14.41,100
2020-01-14,14.41,14.41,14.41,14.41,0
2020-01-15,14.41,14.41,14.41,14.41,0
2020-01-16,12.81,12.81,12.81,12.81,100
2020-01-17,14.41,14.41,14.41,14.41,9100
2020-01-20,12.81,12.81,12.81,12.81,100
2020-01-21,12.81,12.81,12.81,12.81,0
2020-01-22,12.81,12.81,12.81,12.81,0
2020-01-30,12.81,12.81,12.81,12.81,0
2020-01-31,12.81,12.81,12.81,12.81,0
2020-02-03,12.81,12.81,12.81,12.81,5000
2020-02-04,12.81,12.81,12.81,12.81,0
2020-02-05,12.81,12.81,12.81,12.81,0
2020-02-06,12.81,12.81,12.81,12.81,0
2020-02-07,14.73,14.73,14.73,14.73,10900
2020-02-10,14.73,14.73,14.73,14.73,0
2020-02-11,14.73,14.73,14.73,14.73,0
2020-02-12,14.73,14.73,14.73,14.73,0
2020-02-13,14.73,14.73,14.73,14.73,0
2020-02-14,16.81,16.81,16.01,16.01,1000
2020-02-17,16.01,18.01,16.01,16.41,25000
2020-02-18,18.01,18.81,18.01,18.81,20000
2020-02-19,19.37,19.37,19.37,19.37,102000
2020-02-20,16.49,16.49,16.49,16.49,100
2020-02-21,14.41,14.41,14.41,14.41,100
2020-02-24,14.41,14.41,14.41,14.41,0
2020-02-25,14.41,14.41,14.41,14.41,0
2020-02-26,16.57,16.57,16.57,16.57,600
2020-02-27,16.57,16.57,16.57,16.57,0
2020-02-28,16.57,16.57,16.57,16.57,0
2020-03-02,17.61,17.61,17.61,17.61,100
2020-03-03,20.25,20.25,20.25,20.25,6700
2020-03-04,17.29,18.01,17.29,18.01,9800
2020-03-05,20.66,20.66,20.66,20.66,5000
2020-03-06,17.61,17.61,17.61,17.61,200
